Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2/11/2022 17:05,FALSE,Austin Running,6.23,746,1:15:18,154,170,159,172,12:05,10:34,103,103,0.84,0,0,0,0,0,0:00,0,0:00,No,02:37.3,7,0,1:15:09,1:16:49,427,470
Running,2/10/2022 17:01,FALSE,Austin Running,6.22,736,1:17:11,148,164,157,170,12:25,11:35,96,119,0.83,0,0,0,0,0,0:00,0,0:00,No,02:36.7,7,0,1:16:50,1:19:25,427,470
Running,2/9/2022 16:43,FALSE,Austin - 7 Mile Tempo @ 10:50,7.6,939,1:24:52,162,181,159,174,11:10,8:39,99,117,0.9,0,0,0,0,0,0:00,0,0:00,No,05:21.4,9,0,1:24:49,1:24:56,427,469
Running,2/7/2022 16:56,FALSE,Austin Running,7.6,851,1:33:16,145,163,158,174,12:16,10:39,104,109,0.83,0,0,0,0,0,0:00,0,0:00,No,07:21.7,8,0,1:32:57,1:35:25,427,466
Running,2/6/2022 10:33,FALSE,Austin Running,4.12,493,0:49:36,147,165,161,172,12:01,10:51,69,63,0.83,0,0,0,0,0,0:00,0,0:00,No,01:21.6,5,0,0:49:34,0:49:42,429,457
Running,2/5/2022 8:49,FALSE,Austin Running,15.38,"1,889",3:02:00,163,180,160,177,11:50,10:05,359,379,0.85,0,0,0,0,0,0:00,0,0:00,No,04:24.1,16,0,3:01:10,3:08:32,427,652
Running,2/2/2022 17:05,FALSE,Austin Running,6.26,734,1:14:47,149,169,159,174,11:57,10:51,120,120,0.85,0,0,0,0,0,0:00,0,0:00,No,03:01.5,7,0,1:14:41,1:15:58,427,470
Running,2/1/2022 16:48,FALSE,Austin - 6x200 30m @ 10:30 6x200,7.62,918,1:23:28,158,191,154,192,10:57,6:20,127,149,0.95,0,0,0,0,0,0:00,0,0:00,No,00:49.5,30,0,1:23:21,1:23:30,427,468
Running,1/31/2022 16:52,FALSE,Austin Running,7.63,894,1:29:58,149,169,158,177,11:48,10:09,134,134,0.86,0,0,0,0,0,0:00,0,0:00,No,07:13.7,8,0,1:29:51,1:30:41,427,469
Running,1/29/2022 8:20,FALSE,Austin Running,18.07,"2,027",3:45:50,153,174,157,250,12:30,10:16,363,362,0.82,0,0,0,0,0,0:00,0,0:00,No,00:47.6,19,0,3:44:36,3:56:50,427,551
Running,1/28/2022 17:00,FALSE,Austin Running,6.22,731,1:13:06,150,164,160,173,11:45,10:27,92,113,0.85,0,0,0,0,0,0:00,0,0:00,No,02:31.6,7,0,1:13:04,1:14:19,427,470
Running,1/27/2022 16:31,FALSE,Austin - 2x2 Miles,7.43,875,1:22:52,156,176,158,244,11:09,9:09,142,143,0.91,0,0,0,0,0,0:00,0,0:00,No,02:00.0,10,0,1:22:28,1:26:26,427,469
Running,1/26/2022 17:03,FALSE,Austin Running,6.2,717,1:15:10,146,162,157,170,12:07,10:53,98,118,0.85,0,0,0,0,0,0:00,0,0:00,No,02:23.5,7,0,1:15:08,1:16:25,427,471
Running,1/24/2022 17:13,FALSE,Austin Running,6.23,725,1:14:23,147,168,159,170,11:57,10:51,99,119,0.85,0,0,0,0,0,0:00,0,0:00,No,02:33.4,7,0,1:14:14,1:16:12,427,470
Running,1/23/2022 7:45,FALSE,Austin - Half Marathon 10 min/mile,14.22,"1,727",2:20:28,171,183,165,176,9:53,8:43,195,571,0.99,0,0,0,0,0,0:00,0,0:00,No,00:11.7,17,0,2:20:05,2:41:49,508,889
Running,1/22/2022 10:30,FALSE,Austin Running,3.01,379,0:34:04,163,177,163,177,11:19,8:02,24,24,0.87,0,0,0,0,0,0:00,0,0:00,No,00:07.6,4,0,0:34:02,0:34:08,427,452
Running,1/20/2022 16:48,FALSE,Austin Running,6.22,751,1:11:36,152,173,163,180,11:31,9:31,78,100,0.86,0,0,0,0,0,0:00,0,0:00,No,02:26.8,7,0,1:11:32,1:12:49,427,470
Running,1/19/2022 16:51,FALSE,Austin Running,6.21,723,1:11:48,148,166,161,228,11:33,10:29,95,113,0.87,0,0,0,0,0,0:00,0,0:00,No,02:20.7,7,0,1:11:43,1:15:13,427,470
Running,1/18/2022 16:49,FALSE,Austin Running,6.17,710,1:12:06,147,167,160,226,11:42,9:47,72,93,0.86,0,0,0,0,0,0:00,70,0:00,No,01:48.1,7,0,1:11:54,1:18:54,427,471
Running,1/17/2022 11:05,FALSE,Austin Running,6.21,739,1:14:31,151,167,160,172,12:00,10:32,79,100,0.84,0,0,0,0,0,0:00,0,0:00,No,02:18.3,7,0,1:14:18,1:18:30,427,470
Running,1/15/2022 7:45,FALSE,Austin Running,20.05,"2,297",4:07:52,156,174,162,181,12:22,10:39,416,418,0.8,0,0,0,0,0,0:00,0,0:00,No,00:32.1,21,0,4:07:48,4:08:57,427,472
